"Prediction","Acer","Aesculus","Alnus","Ambrosia","Amelanchier","Betula","Carpinus","Carya","Celtis","Corylus","Cupressaceae","Elaeagnus","Fagus","Fraxinus","Ginkgo","Gleditsia","Juglans","Juniperus","Ligustrum","Malus","Ostrya","Picea","Pinus","Populus","Prunus","Pyrus","Quercus","Robinia","Salix","Sorbus","Syringa","Taxus","Tilia","Ulmus"
"Acer",15874,30,5,6,45,47,1,148,2,17,0,50,16,90,20,48,59,42,4,55,57,6,73,16,176,55,214,11,61,11,152,21,28,121
"Aesculus",29,4273,0,1,0,3,0,2,0,0,9,1,1,50,0,0,0,34,0,0,1,0,7,0,10,0,23,5,4,0,3,21,3,2
"Alnus",4,0,14718,0,0,45,0,1,0,23,0,0,0,5,0,0,0,0,0,1,3,0,1,2,0,0,30,0,5,2,5,1,1,19
"Ambrosia",3,1,0,8920,0,1,0,0,0,0,0,0,0,1,9,0,0,0,0,0,24,0,0,0,0,0,9,0,13,0,0,1,0,0
"Amelanchier",6,0,0,0,1174,0,2,8,9,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,7,12,0,1,0,8,2,0,3
"Betula",24,10,40,4,1,8685,40,31,1,139,13,4,17,111,19,3,38,9,0,21,22,2,39,0,21,3,244,4,54,14,17,79,5,2
"Carpinus",0,0,0,0,0,3,925,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,18,0,8,0,12,1,0,0
"Carya",23,0,0,1,10,15,5,4527,0,3,0,17,35,1,5,9,38,19,1,8,17,5,106,0,4,9,35,3,7,4,55,0,0,7
"Celtis",0,0,0,0,10,0,0,0,696,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,3,9,0,0,0
"Corylus",5,0,29,2,3,43,6,6,0,2654,0,0,1,10,0,1,9,1,0,0,2,0,2,26,0,1,27,1,27,2,4,0,0,40
"Cupressaceae",0,1,0,0,0,1,0,0,0,2,3160,0,1,0,0,0,0,6,0,0,2,0,6,0,0,0,85,0,10,0,0,51,0,0
"Elaeagnus",6,0,0,0,0,1,0,5,0,0,0,724,7,0,0,0,0,7,0,3,0,1,7,0,2,1,2,1,0,0,4,1,1,0
"Fagus",5,0,0,0,2,0,0,1,0,0,0,1,219,0,0,0,0,2,0,3,0,0,3,0,2,0,6,1,1,0,11,0,1,0
"Fraxinus",39,30,3,1,5,33,2,5,6,44,1,1,3,2929,3,4,6,10,0,20,11,0,5,0,10,6,89,2,30,4,54,14,3,12
"Ginkgo",1,4,0,0,2,10,1,2,3,0,0,0,0,14,2803,0,0,0,0,0,58,0,2,0,1,0,78,0,12,3,53,2,0,0
"Gleditsia",2,0,0,0,1,0,0,8,0,0,0,0,0,0,1,825,1,1,0,1,34,0,0,0,0,2,6,0,3,2,11,0,3,0
"Juglans",7,0,0,0,1,23,15,102,0,3,0,3,0,4,4,3,3743,2,1,4,2,4,10,0,1,1,91,0,4,0,43,1,1,1
"Juniperus",9,7,2,0,0,4,2,4,0,1,8,0,8,17,0,0,0,11437,0,3,3,0,5,0,6,0,11,20,5,0,1,20,0,0
"Ligustrum",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1263,0,0,3,2,0,0,4,2,1,1,0,7,0,1,0
"Malus",28,3,0,0,5,10,0,8,1,1,0,18,5,2,0,0,4,8,1,2667,0,2,158,0,40,12,9,7,0,0,14,4,2,3
"Ostrya",21,2,1,19,28,10,13,45,2,4,1,0,1,4,74,83,0,25,0,0,7081,0,4,0,1,0,86,0,40,3,23,7,0,0
"Picea",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,131,8,0,0,0,0,0,0,0,0,0,0,0
"Pinus",18,0,0,0,0,1,14,80,0,0,0,40,23,0,0,0,6,24,1,148,1,81,8589,0,0,2,16,3,6,2,28,1,6,0
"Populus",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,0,0,0,0,1,0,0,0,0,11
"Prunus",56,14,2,0,4,7,0,10,0,1,0,0,0,4,3,1,3,4,0,21,0,0,4,0,1893,2,25,2,2,10,13,2,1,3
"Pyrus",1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,1,3,0,1,1,0,0,377,0,0,0,6,1,0,0,1
"Quercus",190,46,15,4,107,443,111,126,82,157,8,22,100,372,247,51,174,78,4,37,167,7,130,2,64,7,21596,7,174,39,530,112,26,3
"Robinia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,1,0,2,427,0,0,2,0,0,2
"Salix",49,13,19,23,2,14,16,1,1,65,31,2,4,88,14,2,0,49,0,0,75,1,11,17,5,0,260,2,12698,2,16,94,2,34
"Sorbus",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,257,2,0,0,0
"Syringa",76,3,2,3,27,18,24,43,37,21,0,16,41,64,19,67,37,10,17,18,34,7,17,0,20,16,292,2,39,13,9856,0,9,18
"Taxus",21,43,0,2,1,44,0,5,0,6,60,1,10,26,1,0,0,99,0,0,13,0,24,0,1,0,123,1,21,0,1,9056,0,0
"Tilia",26,0,1,0,1,7,1,9,0,1,0,2,3,0,0,2,1,7,1,11,4,0,2,0,7,4,7,4,0,3,26,0,3253,1
"Ulmus",26,0,29,0,0,0,0,0,1,44,0,0,0,1,0,3,1,0,0,0,2,0,0,31,0,3,0,0,44,0,1,0,0,4376
